12	Therefore, although serum P III P can be a useful marker in $HEPATOCELLULAR CARCINOMA$ it may possibly be difficult to discriminate it from benign diseases involving the #LIVER# and biliary tract.	2	causes2	causes1	2
13	A chest x ray showing a large tumor like opacity in the left lower lobe and endoscopy visualizing a budding mass suggested a diagnosis of $BRONCHIAL CARCINOMA$ in a 55 year old, tobacco smoking Cambodian who consulted for #HEMOPTYSIS# and altered general status.	10	diagnosed by2	diagnosed by1	2
14	Maximum velocity and amplitude of repetitive ( 1 per second) 30 degrees saccadic eye movements were quantitatively assessed for 4 minutes before and after $INTRAVENOUS EDROPHONIUM CHLORIDE$ as a diagnostic test for #MYASTHENIA GRAVIS#	10	diagnosed by2	diagnosed by1	2
15	Clonidine, oxymetazoline, tetrahydozoline, brimonidine, tizanidine; barbiturates; opioids; benzodiazepines  Give naloxone for suspected $OPIOID OVERDOSE$; consider #FLUMAZENIL# for benzodiazepine overdose Cholinergic (pinpoint pupils; variable HR; sweaty skin; abdominal cramps and diarrhea)  Organophosphate and carbamate insecticides; chemical warfare nerve agents  Give atropine and pralidoxime; obtain measurements of serum and RBC cholinesterase activity Anticholinergic (agitation; delirium; dilated pupils; tachycardia; decreased peristalsis; dry, flushed skin)  Atropine and related drugs; antihistamines; carbamazepine; phenothiazines; tricyclic antidepressants  Obtain immediate ECG.	1	causes1	causes2	1
16	Patients with otitis media received approximately 40 mg/kg/day of cefaclor or amoxicillin trihydrate for ten days to three weeks; patients with $PHARYNGITIS$ received 20 mg/kg/day of #CEFACLOR# or penicillin V potassium for ten days.	7	treats1	treats2	1
17	Taken together, these data suggest that African green monkeys with $SPONTANEOUSLY ELEVATED BP$ may be a useful experimental model for particular types of human #HYPERTENSION#	9	diagnosed by1	diagnosed by2	1
18	The objective of this study is to perform a cost effective analysis of 86 patients with $RHEUMATOID ARTHRITIS$ in therapy with #ADALIMUMAB# 40 mg every other week and etanercept 50 mg/week for two years in a population of patients observed in clinical practice.	7	treats1	treats2	1
19	$AZATHIOPRINE$ is an immunosuppressive drug that is used to treat #RHEUMATOID ARTHRITIS#	8	treats2	treats1	2
20	The therapeutic results of Lp TAE (transcatheter arterial embolization in the presence or absence of Gelfoam particles preceded by the infusion of a mixture of lipiodol and an anticancer drug via the proper hepatic artery) or DSM TAE (transcatheter arterial embolization with degradable starch microspheres and the arterial injection of anticancer drugs via the hepatic artery) combined with $HYPERTHERMIA$ were evaluated in 30 patients with #HEPATOCELLULAR CARCINOMA# (HCC), 5 subjects with hepatic cholangiocarcinoma, and 22 patients with metastatic liver carcinoma.	7	treats1	treats2	1
21	Thus, the present data support the hypothesis that the therapeutic effects of $CLOZAPINE$ in this primate model and perhaps in #SCHIZOPHRENIA# may be related at least in part to the restoration of DA tone in the prefrontal cortex.	8	treats2	treats1	2
22	Maintenance of airway, breathing, and circulation; fluids and vasopressors for hypotension; multiple dose activated charcoal; calcium chloride or calcium gluconate for hypotension and bradydysrhythmias, $ATROPINE$ or isoproterenol for #BRADYCARDIA#	8	treats2	treats1	2
23	The incidence of $SYMPTOMATIC URINARY TRACT INFECTION$ also decreased during treatment with #METHENAMINE HIPPURATE#	7	treats1	treats2	1
24	trial  Lancet  Acupuncture in patients with osteoarthritis of the knee: a randomised trial  New England Journal of Medicine  Glucosamine, chondroitin sulfate, and the two in combination for painful knee osteoarthritis  Osteoarthritis and Cartilage  A randomized, placebo controlled, cross over study of ginger extracts and ibuprofen in osteoarthritis  Rheumatic Diseases Clinics of North America  Homeopathy and rheumatic disease  Rheumatology (Oxford)  A randomized, double blind, placebo controlled trial of $GLUCOSAMINE SULPHATE$ as an analgesic in #OSTEOARTHRITIS OF THE KNEE#  Review  Alternative Medicine Review  Natural treatments for osteoarthritis  Arthritis and.	8	treats2	treats1	2
25	$LEPROSY$ (hanseniasis) is caused by chronic infection with #MYCOBACTERIUM LEPRAE# (M. leprae.	2	causes2	causes1	2
26	$YERSINIA PESTIS$ the causative agent of #PLAGUE# has a feature of forming multicellular aggregates at liquid air interface around the wall of glass tube.	1	causes1	causes2	1
27	Using standardised computer assisted face to face interviews, we determined and compared the prevalence of doctor diagnosed $ATOPIC DISEASES$ (hay fever, asthma, #ATOPIC DERMATITIS#) in the study subjects and veterinarian diagnosed allergies in their pets.	10	diagnosed by2	diagnosed by1	2
28	Treatment of $REFRACTORY DIARRHOEA$ in AIDS with acetorphan and #OCTREOTIDE#: a randomized crossover study.	7	treats1	treats2	1
29	17of 18 women with hirsutism treated with combination therapy of $FLUTAMIDE$ 250 mg twice daily and an oral contraceptive pill had a rapid and marked reduction in their #HIRSUTISM# score.	8	treats2	treats1	2
30	These data suggest that subclinical $RIBOFLAVIN$ DEFICIENCY may occur in adolescents and that deficiency may be related to dietary intake of #RIBOFLAVIN#	2	causes2	causes1	2
31	Patients with a history of $BEESTING ALLERGY$ may have a higher risk of a #HYPERSENSITIVITY REACTION# with paclitaxel treatment.	1	causes1	causes2	1
32	With successful treatment of the patient's depression with $IMIPRAMINE$ the tremors disappeared, but slowly began again after drug noncompliance resulted in recurrence of #DEPRESSION#.	8	treats2	treats1	2
33	Removal of $PHEOCHROMOCYTOMA$ may also cure #HYPERTENSION# ( 77.	8	treats2	treats1	2
34	The trends in tuberculin reactions of Mantoux test (2 TU) performed annually before and after the diagnosis of $TUBERCULOSIS$ shows that the risk groups consist of subjects with increasing #TUBERCULIN SENSITIVITY# and those susceptible to acute respiratory virus infections.	1	causes1	causes2	1
35	When the menstrual cycle is altered, $FERTILITY$ is reduced, and medical conditions such as osteoporosis and #ENDOMETRIAL HYPERPLASIA# can result.	1	causes1	causes2	1
36	The term $INFLAMMATORY BOWEL DISEASE$ (IBD) represents different phenotypes of the idiopathic chronic inflammatory disease of #GASTROINTESTINAL TRACT#	2	causes2	causes1	2
37	In patients with internal ophthalmoplegia, awareness of the possibility of $PHARMACOLOGIC MYDRIASIS$ and correct use of #TOPICAL PILOCARPINE# testing can preclude the necessity for neuroradiologic and invasive diagnostic studies, even in cases with atypical or complex presentations.	9	diagnosed by1	diagnosed by2	1
38	These results suggest that the CSH induced long term inhibition of $KINDLED SEIZURES$ is the result of an interaction between the #MYOCLONIC SEIZURE# and a subsequent kindled seizure.	1	causes1	causes2	1
39	The autologous membrane bound antibodies strongly recognized cell surface antigens on four human ovarian cell lines and four surgical specimens of human $OVARIAN ADENOCARCINOMA$ but did not react with normal human #OVARIES# non ovarian normal and neoplastic tissues, or non ovarian human cell lines by indirect immunofluorescence assay.	6	location2	location1	2
40	It might take at least 12 days, when the pH of nitrite solution is lowered, for the concentration of NO to reach a level sufficiently high to activate guanylyl cyclase and so it seems unlikely that naturally circulating nitrite is involved in vasodilation in ischemic tissue through its conversion into NO. It is more realistic to consider that NO is produced at biologically significant concentrations from nitrite in $PERSPIRATION$ on the #SKIN#	6	location2	location1	2
41	The clinical features of the disease were morning stiffness, pain and limitation of motion of the dorsolumbar spine in four of the five members, associated with arthritis of the $SMALL JOINTS OF THE HANDS$ in three, shoulder peri#ARTHRITIS# in two and costal cartilage pain in one.	5	location1	location2	1
42	The patients were enrolled into three different programmes: a 14 week LEARN programme (672 patients), a 16 week MOB programme for the morbidly obese (259 patients), or a $20 WEEK BINGE PROGRAMME$ for subjects affected by #BINGE EATING# (137 patients.	8	treats2	treats1	2
43	As therapeutic agents of choice in the treatment of complicated infections, glycopeptide antibiotics are often preferentially used in cases of $OSTEOMYELITIS$ an infection located in #BONE# and notoriously difficult to successfully manage.	6	location2	location1	2
44	It has been reported that $#JOINT# EFFUSION$ the excessive accumulation of joint fluid in and around the #JOINT# is related to temporomandibular joint (TMJ) disorders such as pain and disk displacement.	6	location2	location1	2
45	? High dose aspirin use has been associated with increased $GASTROINTESTINAL BLEEDING$ in patients with #PV#	1	causes1	causes2	1
46	A normal ECG taken when a patient is painfree does not rule out unstable angina; a normal ECG taken during pain, although it does not rule out $ANGINA$ suggests that the #PAIN# is not ischemic.	2	causes2	causes1	2
47	of intraarticular hyaluronan in osteoarthritis of the knee  Comparison of the analgesic efficacy and safety of nonprescription doses of naproxen sodium and ibuprofen in the treatment of osteoarthritis of the knee  Lancet  Comparison of lumiracoxib with $NAPROXEN$ and ibuprofen in the Therapeutic Arthritis Research and Gastrointestinal Event Trial (TARGET), cardiovascular outcomes: randomised controlled trial  Pathogenesis and management of pain in #OSTEOARTHRITIS#  Acupuncture in patients with osteoarthritis of the knee: a randomised trial  Assessment of upper gastrointestinal safety of etoricoxib and diclofenac in patients with osteoarthritis and rheumatoid arthritis in the Multinational Etoricoxib and Diclofenac Arthritis.	8	treats2	treats1	2
48	The duration and severity of BA, the presence of allergy determined by skin tests and the $BRONCHIAL HYPERREACTIVITY$ to #METHACHOLINE# inhalation challenge were observed on the first day of study.	1	causes1	causes2	1
49	On the other hand $PRIMARY SKIN DISEASES$ such as #PSORIASIS# atopic dermatitis, acune vulgaris, chronic idiopathic urticaria and alopecia areata may induce psychologic features.	1	causes1	causes2	1
50	We describe a patient with cutaneous melanosis who presented with $NEUROLOGICAL SYMPTOMS$ due to a large #PRIMARY MENINGEAL MELANOMA#	1	causes1	causes2	1
51	Fontaine R, Chouinard G. An open clinical trial of $FLUOXETINE$ in the treatment of #OBSESSIVE COMPULSIVE DISORDER#	8	treats2	treats1	2
52	$ANTIANGINAL EFFICACY$ was assessed with #ANGINA DIARES# investigators, and patients global evaluations and with treadmill exercise test during placebo run in period and after 8 weeks of the therapy.	10	diagnosed by2	diagnosed by1	2
53	In most cases of small cell $LUNG CARCINOMAS (SCLC)$ phenotypic features compatible with a #NEUROENDOCRINE DIFFERENTIATION# status can be identified by monoclonal (MOC) antibody based immunohistological procedures.	2	causes2	causes1	2
54	A 29 year old man with a marfanoid habitus, peculiar mucosal neuromas of the lips and tongue, high arched palate, hyperplastic $CORNEAL NERVES AND HYPERTENSION$ was found at operation to have medullary carcinoma of the thyroid, #PARATHYROID HYPERPLASIA AND PHEOCHROMOCYTOMA#	1	causes1	causes2	1
55	The aim of this study was to evaluate the effect of milk supplemented with $PROBIOTIC BACTERIA$ and fluoride on #CARIES# development and general health in preschool children.	7	treats1	treats2	1
56	? Adherence to a $GLUTEN FREE DIET$ in patients with #CELIAC DISEASE# can lead to the correction of iron deficiency anemia and the replacement of iron stores, and it can prevent the recurrence of iron deficiency.	7	treats1	treats2	1
57	It was concluded (1) that CFI values were reduced following a minor adjustment to the fluoride concentration in drinking water, (2) that dental fluorosis develops during the maturation stage of enamel development, (3) that the development of $DENTAL FLUOROSIS$ may occur over a period of 16 to 24 months, commencing from 12 to 32 months following enamel secretion, and (4) that Dean's index is a suitable instrument for monitoring the effects on dental fluorosis of minor adjustments to the #FLUORIDE# concentration in drinking water.	2	causes2	causes1	2
58	The appearance of $NONTHROMBOCYTIC PURPURA$ is an important clue for the diagnosis of #HENOCH SCHONLEIN PURPURA# (HSP.	1	causes1	causes2	1
59	$SEPSIS$ refers to a #SYSTEMIC INFLAMMATORY RESPONSE SYNDROME# resulting from a microbial infection.	2	causes2	causes1	2
60	Disturbances in tracheal $MUCOUS TRANSPORT DURING #VIRUS# INFECTION$ appear to depend upon the type of virus and are most severe in influenza A and respiratory syncytial #VIRUS# infection.	2	causes2	causes1	2
61	The simple hyperplasia predominates in the perimenopause, while the $ENDOMETRIAL CARCINOMA$ was the most frequent cause for #METRORRHAGIA# in the postmenopausal women.	2	causes2	causes1	2
62	Ondansetron was superior to high dose metoclopramide in controlling $ACUTE EMESIS$ and nausea, and there was a significant patient preference for #ONDANSETRON#	7	treats1	treats2	1
63	The types of malnutrition caused by $DEFICIENCY$ and the most frequently encountered in the developing countries are #PROTEIN CALORIE MALNUTRITION# avitaminoses, and mineral and iron deficiencies.	2	causes2	causes1	2
64	A combination of various kinds of $ALLERGIC REACTIONS$ of both the specific immediate type and of the local reaction of #HYPERSENSITIVITY# of the slow type plays its role in the development of acute appendicitis.	2	causes2	causes1	2
65	Gourlay GK, Kowalski SR, Plummer JL et al. The efficacy of transdermal fentanyl in the treatment of $POSTOPERATIVE PAIN$: a double blind comparison of #FENTANYL# and placebo systems.	7	treats1	treats2	1
66	$TUBERCULOSIS$ was excluded by #TUBERCULIN TESTING# and bronchoalveolar lavage in both cases.	9	diagnosed by1	diagnosed by2	1
67	$MECHANICALLY INDUCED HYPERVENTILATION$ is used in the treatment of newborn infants with persistent pulmonary hypertension syndrome to induce #RESPIRATORY ALKALOSIS# which may attenuate their pulmonary vasoconstriction.	2	causes2	causes1	2
68	Dunner DL, Cohn JB, Walshe T et al. Two combined, multicenter double blind studies of paroxetine and $DOXEPIN$ in geriatric patients with major #DEPRESSION#	8	treats2	treats1	2
69	Serum or $ASCITES ALPHA FETOPROTEIN$ (AFP) from patients with #HEPATOCELLULAR CARCINOMA# and from a cord blood were analyzed by affinity electrophoresis with two lectins mixed in agarose gel in a combination of concanavalin A (Con A) and Lens culinaris agglutinin A (LCA A) or of erythroagglutinating phytohemagglutinin (E PHA) and Allomyrina dichotoma lectin (allo A.	9	diagnosed by1	diagnosed by2	1
70	Sixteen cirrhotic patients with $SUPERIMPOSED HEPATOCELLULAR CARCINOMA$ in whom #ASCITES# was of uncertain etiology were considered separately.	2	causes2	causes1	2
71	The efficacy and tolerability of a fixed combination of 5 mg of cilazapril and 12.5 mg of $HYDROCHLOROTHIAZIDE$ against #HYPERTENSION# was evaluated in 36 patients (26 men and 10 women) between 33 68 years old.	8	treats2	treats1	2
72	Eleven patients with $LEUKEMIA$ refractory to conventional therapy were treated with high doses of #CYTARABINE# (3 g/m2 intravenously every 12 hours for six days) followed by daunorubicin (30 mg/m2/day intravenously for three days.	7	treats1	treats2	1
73	The authors report a case of $PHEOCHROMOCYTOMA$ revealed by a de novo appeared #HYPERTENSION# in a young female patient at her 3rd trimester of pregnancy.	2	causes2	causes1	2
74	Phase III study of concurrent biochemotherapy with cisplatin, vinblastine, dacarbazine, interleukin 2, and interferon alfa 2b versus cisplatin, vinblastine, and $DACARBAZINE$ alone in patients with #METASTATIC MALIGNANT MELANOMA# (summary last modified 10/1999.	8	treats2	treats1	2
75	Depletion of T gamma cells from in vitro cell culture consistently and selectively increased $TUBERCULIN$ responsiveness of T cells from patients with #TUBERCULOSIS#	8	treats2	treats1	2
76	When topically applied to the eye before allergen exposure, ocular sodium cromoglycate prevents many of the signs and symptoms associated with $TYPE I ALLERGIC REACTIONS$ (which includes hayfever, acute allergic and chronic allergic conjunctivitis, and #VERNAL KERATOCONJUNCTIVITIS#) and giant papillary conjunctivitis.	2	causes2	causes1	2
77	In many aspects, respiratory allergies, i.e., $ALLERGIC ASTHMA$ and rhinitis, represent the hallmarks of #ALLERGY#	1	causes1	causes2	1
78	Analysis of hereditary $PHEOCHROMOCYTOMA$ two gene tests are established: detection of #MULTIPLE ENDOCRINE NEOPLASIA TYPE 2# (MEN 2) using mutational analysis of RET gene and detection of von Hippel Lindau syndrome using mutational analysis of VHL gene.	1	causes1	causes2	1
79	Although this is more technically demanding for patients with haemophilia A because of the greater complexity of the $FACTOR VIII GENE$ the recent description of X chromosome inversions as a cause of severe #HAEMOPHILIA A# in almost 50% of patients has led to the ready detection of these inversions in such families with associated precise carrier detection.	2	causes2	causes1	2
80	Apoptosis and its dysregulation have been implicated in dysplastic and ineffective hematopoiesis and the neoplastic transformation of $BONE MARROW$ in #MYELODYSPLASTIC SYNDROME# (MDS.	1	causes1	causes2	1
81	Hyperglycemic and Diabetogenic Effects  Hyperglycemia (potentially persistent), new onset diabetes mellitus, or exacerbation of preexisting $DIABETES MELLITUS$ reported with use of PIs; #DIABETIC KETOACIDOSIS# has occurred.	2	causes2	causes1	2
82	Physiological role and occurrence of iodine in the organism was reviewed, moreover, $ALLERGIC REACTIONS$ caused by iodine containing chemicals #(IODINE AND TROPOMYOSINE ALLERGY#	2	causes2	causes1	2
83	$EPITHELIAL OVARIAN CANCER$ (EOC) arises from the epithelial layer covering the surface of #OVARIES# and i.p.	2	causes2	causes1	2
84	? According to an expert review, $POSTOPERATIVE HYPERTENSION$ occurs in up to 50% of patients after #PHEOCHROMOCYTOMA RESECTION# ( 29.	1	causes1	causes2	1
85	Prognosis  In most cases that begin with a small number of patches of hair loss, hair grows back after a few months to a year.[8] In cases with a greater number of patches, hair can either grow back or progress to alopecia totalis or, in rare cases, universalis.[8]  Effects of $ALOPECIA AREATA$ are mainly psychological (loss of self image due to #HAIR LOSS#.	2	causes2	causes1	2
86	The specificity of these antibodies was tested by immunoblotting with a panel of crude protein antigens from 12 bacteria causing enteric fever and $ENTERIC FEVER$ like illness: #S TYPHI# S. paratyphi A, S. paratyphi B, S. paratyphi C, S. choleraesuis, S. enteritidis, S. krefeld, S. panama, S. typhimurium, Escherichia coli, Pseudomonas pseudomallei, and Yersinia enterocolitica.	2	causes2	causes1	2
87	BC]  Specific recommendation: ? Obtain joint fluid from the affected $JOINT$ in all cases of suspected #SEPTIC ARTHRITIS#	5	location1	location2	1
88	Combinations of symptoms can be of value: 2 or more symptoms from the triad of $HEADACHE$ palpitations, and diaphoresis were present in the majority of pheochromocytoma patients, but in a smaller number of non #PHEOCHROMOCYTOMA# patients.	1	causes1	causes2	1
89	After an outbreak of hepatitis in Washington, D.C. in 1970 among a group of persons taking isoniazid to prevent $TUBERCULOSIS$ an #ISONIAZID# surveillance study was conducted among 13,838 persons in 21 participating health departments.	7	treats1	treats2	1
90	The screening usually consists of measuring thyroxin in dried blood spot specimens followed by measurement of thyrotropin if the results for $THYROXIN$ are suggestive of #HYPOTHYROIDISM#	10	diagnosed by2	diagnosed by1	2
91	An important fraction of the patients admitted to NC, as well as to OC and ENTC, for $HEADACHE$ and/or other complaints were found out to have #MIGRAINE# by means of a simple screening test.	1	causes1	causes2	1
92	We present a rare case of an adult patient without $SEIZURES$ who is found to have a #GANGLIOGLIOMA# occurring in the cerebellopontine angle.	1	causes1	causes2	1
93	Tobramycin 0.3%/dexamethasone 0.1% significantly decreased clinical signs of ocular inflammation (ie, blepharitis, discharge, conjunctivitis) and $TOTAL OCULAR INFLAMMATION$ scores when compared with #TOBRAMYCIN 03%/LOTEPREDNOL 05%# in patients with moderate to severe blepharo keratoconjunctivitis.	7	treats1	treats2	1
94	Nevertheless, immunosuppressive therapy (pulse IV methylprednisolone followed by $ORAL PREDNISONE AND CYCLOPHOSPHAMIDE$) can be given to attempt to control #INFLAMMATION# in patients who develop severe renal disease.	8	treats2	treats1	2
95	Studies have shown that $SUBCUTANEOUS TERIPARATIDE$ 20 microg/day is effective in women with #POSTMENOPAUSAL OSTEOPOROSIS# men with idiopathic or hypogonadal osteoporosis and patients with glucocorticoid induced osteoporosis.	8	treats2	treats1	2
96	$MASTOCYTOSIS$ is a heterogeneous group of disorders characterized by mast cell #HYPERPLASIA IN THE BONE MARROW LIVER SPLEEN LYMPH# nodes, gastrointestinal tract, and skin.	2	causes2	causes1	2
97	No beta (A4) amyloid plaques or CAA were found in six marmosets who were older than the injected animals, in four marmosets that had not developed spongiform encephalopathy (SE) having been injected several years previously with $HUMAN BRAIN TISSUE$ from three younger patients with #SUSPECTED OR ATYPICAL PRION DISEASE# or in 10 younger marmosets who had undergone various neurosurgical procedures.	7	treats1	treats2	1
98	Thus the nitroglycerin test seems to be a useful alternative tool for diagnosis of $VASOVAGAL SYNCOPE$; it is equally specific but more sensitive and feasible than the #ISOPROTERENOL TEST#.	9	diagnosed by1	diagnosed by2	1
99	We compared the changes of non specific $BRONCHIAL HYPERREACTIVITY$ to #METHACHOLINE# UNDW and exercise in 2 groups of patients with mite asthma treated with local immunotherapy (LIT group: 12 patients) and subcutaneous immunotherapy (SIT group: 8 patients) for 1 year.	7	treats1	treats2	1
100	Head up tilt table testing, either alone or with a graded dose infusion of $ISOPROTERENOL$ is a useful diagnostic test for identifying persons who are susceptible to #VASOVAGAL SYNCOPE#	10	diagnosed by2	diagnosed by1	2
101	We conclude that this histopathologic feature in $PALMAR LICHEN NITIDUS$ could be the result of the superimposition of lichen nitidus on #NORMAL PALMAR SKIN# resulting in a picture resembling hypertrophic lichen planus.	6	location2	location1	2
102	The elderly are predisposed to $ADVERSE #DRUG# REACTIONS$ because of age related physiologic changes, interaction of one drug with another, and interaction between a #DRUG# and a coexisting medical condition.	2	causes2	causes1	2
103	He took a 1 mg tablet of $DOXAZOSIN$ daily for mild #HYPERTENSION#	8	treats2	treats1	2
104	$INSULIN PEPTIDE B9 23$ is a major autoantigen in #TYPE 1 DIABETES#	2	causes2	causes1	2
105	Atropine and pralidoxime are the most useful $ANTIDOTES$ in the treatment of #OP POISONING#	8	treats2	treats1	2
106	In 38 patients with $PARKINSON'S SYNDROME$ Madopar preparation was used (#L DOPA WITH PERIPHERAL DECARBOXYLASE# inhibitor) in 33 cases as the main drug and in 5 cases as an addition to L dopa.	7	treats1	treats2	1
107	Quantitative counts of ferruginous bodies were performed on digests of $LUNGS$ from 100 control and 30 #LUNG CANCER# patients.	5	location1	location2	1
108	A case of a 43 year old woman with $SEVERE SUSTAINED HYPERTENSION$ resistant to many antihypertensive drugs, frequent #HYPERTENSIVE CRISIS# and symptoms suggestive of pheochromocytoma (symptomatic triad) is presented.	1	causes1	causes2	1
109	A sample of 1,824 schoolchildren was randomly assigned to either the $SODIUM FLUORIDE$ dentifrice or the stannous fluoride dentifrice and examined clinically and radiographically for #DENTAL CARIES# initially and after one, two, and three years of dentifrice usage.	10	diagnosed by2	diagnosed by1	2
110	The presence of $MICROVASCULAR PROLIFERATION$ leads to the histological diagnosis of #GLIOBLASTOMA MULTIFORME#.	9	diagnosed by1	diagnosed by2	1
111	Serial addition to 3 or more antiepileptic drugs is less likely to lead to $SEIZURE$ freedom for patients with difficult to treat #EPILEPSY#	7	treats1	treats2	1
112	The inadequacy of the 4 aminoquinolines for protection against latent $BENIGN TERTIAN MALARIA$ is noted, and the use of #PRIMAQUINE# is recommended.	7	treats1	treats2	1
113	However, the patients with extensive intestinal metaplasia of the $STOMACH$ belong to the high risk group for the #GASTRIC CANCER#	1	causes1	causes2	1
114	Acute idiopathic thrombocytopenic purpura is the most common cause of thrombocytopenia in childhood, and diagnosis of $IDIOPATHIC THROMBOCYTOPENIC PURPURA$ is made clinically based on the exclusion of other causes of #THROMBOCYTOPENIA#.	10	diagnosed by2	diagnosed by1	2
115	A right hemicolectomy was performed, which revealed a $TUBULOVILLOUS ADENOMA$ with #HIGH GRADE DYSPLASIA# located in the ascending colon, and a diffuse ischemic colitis.	6	location2	location1	2
116	Lacunes consist of small vascular lesions with a volume of between 2 and about 30 mm. These lacunar infarctions are determined by an $ISCHEMIA$ caused by obstructive diseases of small terminal #VESSELS# in the deep areas of the brain.	2	causes2	causes1	2
117	Higuchi T, Shimizu T, Mori H, et al: Coagulation patterns of $DISSEMINATED INTRAVASCULAR COAGULATION$ in #ACUTE PROMYELOCYTIC LEUKEMIA#	1	causes1	causes2	1
118	In addition to the characterization of the degree of inflammation and fibrosis, the evaluation of a $LIVER BIOPSY SPECIMEN$ from a patient with #CHRONIC HEPATITIS# includes a description of all of the findings present (e.g., steatosis, bile duct changes, granulomas, type of inflammatory cells, presence of iron, and Mallory hyaline) or a notation of their absence.	9	diagnosed by1	diagnosed by2	1
119	PDGFRA, PDGFRB, and EGFR were immunohistochemically, biochemically, cytogenetically, and mutationally analyzed along with the detection of their cognate ligands in 16 $NEUROFIBROMATOSIS TYPE 1$ (NF1) related and 11 sporadic #MPNSTS#	10	diagnosed by2	diagnosed by1	2
120	$DUCTAL CARCINOMA IN SITU$ (DCIS) usually manifests as #MICROCALCIFICATION# on mammography, but several other unusual forms of presentation on mammography are also described.	2	causes2	causes1	2
121	The $FIBROMYALGIA SYNDROME$ (FMS) is characterized by widespread #PAIN# and diffuse tenderness in specified locations.	2	causes2	causes1	2
122	These results support the hypothesis that stimulation of local cytokines by imiquimod leads to a reduction in $HUMAN PAPILLOMA VIRUS$ (HPV) load; to #WART# regression and to the normalisation of keratinocyte proliferation without evidence of scarring.	7	treats1	treats2	1
123	Infants with $ANENCEPHALY$ are born without all or most of their #BRAIN# and die within a few days of life.	6	location2	location1	2
124	The case is presented of a 49 year old female who had had chronic renal insufficiency and $HYPERTENSION$ for several years and who developed a #HYPERTENSIVE CRISIS# after cessation of therapy with clonidine and nadolol.	1	causes1	causes2	1
125	The results suggest that cadmium thionein may play a paradoxical role, providing protection against the $CADMIUM ION IN THE$ intracellular milieu, but promoting #CADMIUM TOXICITY# when it is present in sufficient amounts in the lumen of the intestine.	7	treats1	treats2	1
126	The classic features of a patient with fully developed $GRAVES' DISEASE$ are difficult to overlook, but the clinical features of #THYROTOXICOSIS# vary with the etiology of the disease and the sensitivity of the patient's peripheral tissues.	1	causes1	causes2	1
127	? Screen all patients with MEN2 for pheochromocytoma before parathyroidectomy, and consider screening for pheochromocytoma in patients with primary hyperparathyroidism who have significant $HYPERTENSION$ or symptoms suggestive of #PHEOCHROMOCYTOMA#	1	causes1	causes2	1
